frequency_khz,mean_abs_v,var_v,rms_abs_v,p90_abs_v,p95_abs_v,p99_abs_v,exceedance_probability,exceedance_threshold_v,sample_size
2.0,0.13954266726721384,0.015598374950790387,0.1872712763315259,0.2709104475138895,0.351327624387097,0.5963913611418412,0.00146484375,1.0,2048
3.0,0.1202725698768926,0.009233827336122666,0.15394582943657384,0.23132062697754574,0.28910896874627595,0.45884611053317836,0.00048828125,1.0,2048
4.0,0.10974373080323381,0.006750438395093126,0.13709166585064816,0.20822276125680725,0.25683706803734396,0.37839327301612646,0.00048828125,1.0,2048
5.0,0.10288471397590286,0.00550575407795755,0.1268503781936061,0.1918991188506531,0.23883731301680294,0.3416129311418735,0.0,1.0,2048
6.0,0.09840503762001443,0.004757751415945458,0.12017197196077758,0.18135051392781815,0.2281801012853401,0.32063455688586007,0.0,1.0,2048
7.0,0.09495841696041049,0.004311633349608654,0.11545013772722763,0.17581912354556523,0.21523585956341715,0.31093815773590416,0.0,1.0,2048
8.0,0.09225692645779077,0.0038771268779079116,0.11130349211658241,0.17005481816020446,0.20471204312315341,0.2935299486376489,0.0,1.0,2048
9.0,0.09038807536248712,0.003635932931003668,0.1086551291874356,0.16417038040006932,0.19849187243158406,0.2877279716322435,0.0,1.0,2048
10.0,0.08873803023082419,0.003436534303103682,0.1063530550212374,0.16164165720076715,0.19289516263054501,0.2814822443124132,0.0,1.0,2048
11.0,0.08765883154395357,0.0033279935410101677,0.10493838329544342,0.15936055377965966,0.18988449666759505,0.2785480201630044,0.0,1.0,2048
12.0,0.0865205781224765,0.003198240657243594,0.10336368364126325,0.15838425520582594,0.1876192192265102,0.27454682038821654,0.0,1.0,2048
13.0,0.08577003793856246,0.00308959682103267,0.1022061457497303,0.15712226313620706,0.18419220852836116,0.27060837870241783,0.0,1.0,2048
14.0,0.08514151894334146,0.0030518158203782374,0.10149332031398722,0.15472581267055105,0.18512724939098685,0.27119045693773725,0.0,1.0,2048
15.0,0.08479937814365758,0.002980242647046143,0.10085225421673615,0.15537351366510904,0.18365541952851408,0.26203545025338454,0.0,1.0,2048
16.0,0.08459111545600774,0.0029874484826696896,0.10071298474755537,0.15203819017977604,0.1811646394603594,0.2701041332823413,0.0,1.0,2048
17.0,0.08442004967744199,0.0029406608955444514,0.10033646238076278,0.15326884243405176,0.18125835969224297,0.2638787764424625,0.0,1.0,2048
18.0,0.08447820772460564,0.002946702327377497,0.10041548639397768,0.15200009453961244,0.18165849557219105,0.2616733221096949,0.0,1.0,2048
19.0,0.08483034173796196,0.0029522375262754103,0.10073938855112642,0.15291379817569364,0.1811075028349397,0.2607272221584176,0.0,1.0,2048
20.0,0.08513905352187164,0.002943672521654401,0.10095707482021517,0.15537425033113653,0.18324976598929382,0.2612999934181528,0.0,1.0,2048
21.0,0.08529880285697727,0.00295455562933786,0.10114564448443311,0.1556988405183272,0.18321973174506812,0.25687462095730584,0.0,1.0,2048
22.0,0.08505651135910966,0.002910250845018593,0.10072170058930173,0.15390201851777877,0.1834916271004236,0.257350358011064,0.0,1.0,2048
23.0,0.08470902547010292,0.0028981323061629894,0.10036807910016776,0.15363784524988353,0.1819906598311236,0.25260573800624864,0.0,1.0,2048
24.0,0.08388900896000119,0.002801454605883267,0.09919082835713404,0.15098742085894062,0.1795784491366887,0.2554476772835271,0.0,1.0,2048
25.0,0.08321509327224769,0.0027739819482240843,0.09848214912629073,0.1500789391012567,0.1785518451233625,0.25538776214876224,0.0,1.0,2048
26.0,0.08266813717665628,0.0027240787005691253,0.09776553382878643,0.14867212913227634,0.17870703044365194,0.2582460405366202,0.0,1.0,2048
27.0,0.08221407413631641,0.0026787466913436764,0.09714885834344841,0.14721381554348487,0.1780964028160669,0.2478720926272926,0.0,1.0,2048
28.0,0.08181243716659828,0.0026604557995364322,0.09671468696467472,0.1473369398827756,0.17692066333834622,0.24672691937299812,0.0,1.0,2048
29.0,0.08164227331260092,0.002637531567158954,0.09645202101982302,0.14697697602212897,0.17616780806188997,0.24706912913038215,0.0,1.0,2048
30.0,0.08124514691324003,0.0025910261876252523,0.09587387592341935,0.14576697818146675,0.17595193730870906,0.2444653052659907,0.0,1.0,2048
31.0,0.08113228387451855,0.0025682848891267706,0.09565946046169314,0.1438215143897703,0.17256906946845613,0.24362365432191285,0.0,1.0,2048
32.0,0.08102499578058314,0.0025692242548756876,0.09557339690582942,0.14487813823856582,0.1743595898411041,0.23960346630241947,0.0,1.0,2048
33.0,0.08092563914966189,0.002552990278857225,0.09540413696815517,0.1442761268710005,0.17457200229301714,0.24016627036774307,0.0,1.0,2048
34.0,0.08085937932719178,0.002537893096745758,0.09526873737971155,0.1444213262696402,0.17408199145650155,0.24232656614066755,0.0,1.0,2048
35.0,0.08085193350962205,0.0025317600383509098,0.09523022204424,0.14324304479397018,0.1740998523000914,0.241550892852478,0.0,1.0,2048
36.0,0.08078720840300581,0.002518425455184411,0.09510519700171544,0.14273083043852972,0.17372966822811775,0.24288655981560828,0.0,1.0,2048
37.0,0.08090573123360867,0.002531844175182947,0.09527634292744379,0.14453075976889343,0.1742691695542795,0.2435103500728737,0.0,1.0,2048
38.0,0.08079058012756231,0.002528307584705553,0.09515999906501481,0.14414166950359597,0.17513994565399754,0.2465190081369841,0.0,1.0,2048
39.0,0.0808801507722495,0.0025059767844670855,0.09511874459542081,0.14497633875081778,0.17329991527181624,0.2474379522420968,0.0,1.0,2048
40.0,0.0807991844683829,0.002505864639049695,0.09504931798706114,0.14550406872432634,0.17565248870641098,0.24027255365621863,0.0,1.0,2048
41.0,0.08088841501174439,0.0025213664666121284,0.09520662870685173,0.14392127886738404,0.17767448574539052,0.24466629400482737,0.0,1.0,2048
42.0,0.08086727807174883,0.0025042694390973786,0.0950988228204268,0.14517186810179677,0.17514602226885517,0.24635369434041124,0.0,1.0,2048
43.0,0.08095962385356088,0.0025165032753060924,0.0952416083957855,0.1451966276016034,0.17681888849371427,0.24747599542763787,0.0,1.0,2048
44.0,0.08090265543146687,0.002493228638303265,0.09507085933221557,0.14424730317956988,0.1763304188085019,0.24550262763406097,0.0,1.0,2048
45.0,0.08117355067171313,0.002540902628455601,0.09555128443463635,0.1450927615624323,0.17715104484868682,0.24780967354561617,0.0,1.0,2048
46.0,0.08106898291278689,0.0025327942788074937,0.09541998883526043,0.14568733966177497,0.17744241091988022,0.2441684302103554,0.0,1.0,2048
47.0,0.08112301827322549,0.0025398848545299655,0.09550303109476706,0.1451330424066141,0.17675694904337996,0.24063709789714982,0.0,1.0,2048
48.0,0.08124534837721284,0.0025419753644607876,0.09561789580091934,0.1456472493362798,0.17784049327545476,0.24257684698285267,0.0,1.0,2048
