scenario_name,density,region_radius_m,coherence,frequency_khz,mean_abs_v,var_v,rms_abs_v,p90_abs_v,p95_abs_v,p99_abs_v,exceedance_probability,exceedance_threshold_v,sample_size,exceedance_probability_fixed_tau03,exceedance_tau_fixed_v
ppp,12.0,500.0,0.0,2.0,0.13975810742240574,0.011410971479650346,0.17590707794157417,0.26920831423537495,0.34944358366499495,0.5380597008520311,0.0,1.0,1024,0.0751953125,0.3
ppp,12.0,500.0,0.0,3.0,0.12157684716855954,0.007683118160643605,0.14988011184974107,0.23610180954394097,0.2907270425391618,0.41613992846598863,0.0,1.0,1024,0.04296875,0.3
ppp,12.0,500.0,0.0,4.0,0.11165517862483303,0.006126067962315428,0.1363559565111066,0.2135394015665128,0.25944383092840356,0.36370999107100643,0.0,1.0,1024,0.0263671875,0.3
ppp,12.0,500.0,0.0,5.0,0.1049565607130275,0.005205146014712496,0.12736179039028905,0.2015275851209607,0.24333900083526946,0.33237444555759427,0.0,1.0,1024,0.021484375,0.3
ppp,12.0,500.0,0.0,6.0,0.10014797474665804,0.004645712051044422,0.12114177189104376,0.19121425116796134,0.23073315196333968,0.32255808332209696,0.0,1.0,1024,0.0166015625,0.3
ppp,12.0,500.0,0.0,7.0,0.09680413350204227,0.004242206050755969,0.11667581717664201,0.18768545016872779,0.21978934635739455,0.3069778269290662,0.0,1.0,1024,0.01171875,0.3
ppp,12.0,500.0,0.0,8.0,0.09413732658644025,0.0039827838930302974,0.11333410850168808,0.1821972631166873,0.21243983938083807,0.29514163205644584,0.0,1.0,1024,0.009765625,0.3
ppp,12.0,500.0,0.0,9.0,0.09213979362320952,0.00376897890624501,0.1107191061884653,0.1762344921760835,0.2083534530189232,0.2844347389773634,0.0,1.0,1024,0.0078125,0.3
ppp,12.0,500.0,0.0,10.0,0.09040724611543638,0.0035698968534737144,0.10836681689359895,0.1734668624755534,0.20300175375462806,0.28275365184376233,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,11.0,0.08915186103899296,0.0034565761000038045,0.10679246427871077,0.16816391581146983,0.20227687225777546,0.28255290129856103,0.0,1.0,1024,0.0078125,0.3
ppp,12.0,500.0,0.0,12.0,0.08819269072799193,0.0033326248156046252,0.10540671474554104,0.16522285727717595,0.19798355974280527,0.27871524676081505,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,13.0,0.08742611104740435,0.0032511489163814145,0.10437659608003362,0.16247189341838478,0.19891452521839226,0.27176221953050517,0.0,1.0,1024,0.0048828125,0.3
ppp,12.0,500.0,0.0,14.0,0.08683979496743598,0.003202680780305658,0.10365245182962136,0.1591524146139778,0.1922558279015821,0.27585757741588585,0.0,1.0,1024,0.0068359375,0.3
ppp,12.0,500.0,0.0,15.0,0.08663634136862151,0.0031682688288129906,0.10331565454737879,0.15909249916496826,0.19516403606887422,0.26841243389717684,0.0,1.0,1024,0.005859375,0.3
ppp,12.0,500.0,0.0,16.0,0.08647324005736101,0.0031265697134918572,0.10297665249710657,0.1579577372623284,0.1923404657905313,0.26800909367924663,0.0,1.0,1024,0.0068359375,0.3
