feeder_id,feeder_name,frequency_khz,distance_m,ztr_mag_matched_ohm,ztr_mag_resistive_ohm,relative_difference
A,urban_short,10.0,0.0,0.23983241399768954,0.24005168387706277,0.0009134277911815413
A,urban_short,10.0,10.0,0.23924141302490604,0.2378432161964031,0.005878649182696632
A,urban_short,10.0,20.0,0.2386518684113528,0.23562969498872344,0.01282594463645169
A,urban_short,10.0,30.0,0.23806377656823327,0.2334111641424231,0.019933118635967337
A,urban_short,10.0,40.0,0.23747713391559455,0.23118766778957003,0.02720502432573207
A,urban_short,10.0,50.0,0.23689193688230567,0.22895925030395972,0.034646717998136095
A,urban_short,10.0,60.0,0.2363081819060356,0.22672595629919953,0.0422634697995975
A,urban_short,10.0,70.0,0.23572586543323176,0.22448783062682762,0.05006077512097056
A,urban_short,10.0,80.0,0.23514498391909835,0.22224491837446342,0.05804436672382963
A,urban_short,10.0,90.0,0.2345655338275744,0.21999726486399399,0.06622022765867909
A,urban_short,10.0,100.0,0.23398751163131318,0.21774491564980003,0.07459460503608807
A,urban_short,10.0,110.0,0.23341091381165965,0.21548791651702254,0.08317402471716452
A,urban_short,10.0,120.0,0.23283573685862985,0.21322631347987475,0.09196530699577997
A,urban_short,10.0,130.0,0.23226197727088893,0.210960152780002,0.10097558335152215
A,urban_short,10.0,140.0,0.23168963155573047,0.2086894808848945,0.11021231435963948
A,urban_short,10.0,150.0,0.23111869622905426,0.20641434448635584,0.11968330885226532
A,urban_short,10.0,160.0,0.23054916781534648,0.20413479049903338,0.12939674443410557
A,urban_short,10.0,170.0,0.22998104284765705,0.20185086605901334,0.13936118946559062
A,urban_short,10.0,180.0,0.2294143178675799,0.19956261852248977,0.14958562663741548
A,urban_short,10.0,190.0,0.22884898942523038,0.1972700954645086,0.16007947827248464
A,urban_short,10.0,200.0,0.22828505407922614,0.19497334467779884,0.17085263350472968
A,urban_short,10.0,210.0,0.22772250839666439,0.19267241417169337,0.18191547749921966
A,urban_short,10.0,220.0,0.2271613489531022,0.19036735217115136,0.193278922894672
