scenario_name,density,region_radius_m,coherence,seed,frequency_khz,mean_abs_v,var_v,rms_abs_v,p90_abs_v,p95_abs_v,p99_abs_v,exceedance_probability,exceedance_threshold_v,sample_size
density_sweep,0.25,500.0,0.0,7,2.0,0.006997674122717297,0.0005688641066062714,0.02485621752668774,0.02223228339265712,0.04094313100560096,0.09612132573111137,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,3.0,0.006296793128915729,0.00035489251851322166,0.019863084408560067,0.02239187313935237,0.037800054699254584,0.08545789624626915,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,4.0,0.005954250278340239,0.0002790082935122232,0.017733059236616167,0.02209020776633193,0.037016096397316185,0.0834864365932511,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,5.0,0.005730037614331506,0.00023643381173273371,0.01640936143773997,0.02186369084602287,0.036497275787531806,0.07801005179465922,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,6.0,0.0055528068633865744,0.0002084929408076297,0.015470184383830167,0.021609766220982672,0.03634570807738179,0.07084846403133187,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,7.0,0.005428477732338678,0.00019053294256750382,0.014832441237301455,0.021636913904630534,0.033676686691985584,0.06322068573430437,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,8.0,0.0053879714796974875,0.0001826139124335665,0.014547994676229437,0.020796731916468237,0.03390103418237973,0.06438745825234567,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,9.0,0.005292621698992357,0.000171957379271107,0.014141047476044756,0.02093696262666671,0.03314275025310748,0.062047118656658594,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,10.0,0.0052494092948141766,0.00016678108903817341,0.013940494502802075,0.020683204626905337,0.03258024347566325,0.06294700975500869,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,11.0,0.005218644755343054,0.0001630324507040714,0.013793719722632505,0.021107240421950123,0.033210839041049905,0.061328527599389705,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,12.0,0.0052083847565758045,0.00016135673815162677,0.013728947881180042,0.02086038581217113,0.033085111075418935,0.06257088376022206,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,13.0,0.005169900772994435,0.00015799136074413689,0.013591145453814603,0.020613977046338144,0.03301303932841466,0.061496642978559495,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,14.0,0.005173067080459181,0.00015727012052363417,0.013565793140932255,0.02062337042138853,0.033388280514861736,0.060722974973532184,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,15.0,0.00518355148013959,0.0001577254715061536,0.013586562385438448,0.021162455134498596,0.033579808709210845,0.060789238470621995,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,16.0,0.005154387155796257,0.00015454428354186626,0.013457785497387884,0.02081316681261252,0.033515353524048906,0.06070370488302238,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,17.0,0.005185955909694322,0.00015732346044418035,0.013572678407060038,0.02096285933639829,0.03377186493758941,0.06151984311702277,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,18.0,0.005202473307558029,0.00015799324987316954,0.013603638424665047,0.021648788352569125,0.03333979762762518,0.05984203666013697,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,19.0,0.005254866769466251,0.00016299184099619608,0.013805993834600853,0.02169707560621934,0.03430573314476441,0.059420400036227006,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,20.0,0.005268001414098737,0.00016235448912802172,0.013787905135551521,0.021701684928043165,0.03366069527690274,0.06091886638739405,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,21.0,0.005289807151597155,0.00016495378123530647,0.013890134662284412,0.02156678783032754,0.033658705854770626,0.05929361675888001,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,22.0,0.005296576421773046,0.0001663977463057915,0.01394458561942497,0.02168414383731028,0.033505435850593374,0.06027691716465387,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,23.0,0.005263533972289582,0.00016333575550080612,0.013821741763549653,0.02145971961863824,0.032972779504027466,0.05860044556808675,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,24.0,0.005268454443562816,0.00016609513710064692,0.013923065370978609,0.021101769722513677,0.0338396719371665,0.06175382995276644,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,25.0,0.005213556959183536,0.00016260853654836733,0.013776418718775153,0.020912950520931183,0.03254420831823841,0.059333888327724064,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,26.0,0.005152168276075065,0.00015760223507936395,0.013570080066984064,0.020716892912194317,0.03188264411230651,0.05881839519974384,0.0,1.0,1024
density_sweep,0.25,500.0,0.0,7,27.0,0.005136484170237841,0.00015781644660573896,0.0135720269759842,0.02082811829328779,0.0317756491298336,0.05934805018760425,0.0,1.0,1024
