feeder_id,feeder_name,frequency_khz,distance_m,ztr_real_ohm,ztr_imag_ohm,ztr_mag_ohm
A,urban_short,2.0,0.0,0.2390621251580793,-2.8836374516956747e-05,0.23906212689724332
A,urban_short,2.0,10.0,0.23848007653407113,-0.00028347382921902164,0.2384802450122615
A,urban_short,2.0,20.0,0.23789917365662497,-0.0005368712054300621,0.23789977943915
A,urban_short,2.0,30.0,0.23731941505755544,-0.0007890327429613083,0.2373207267305781
A,urban_short,2.0,40.0,0.23674079926773425,-0.0010399626697376806,0.23674308344760592
A,urban_short,2.0,50.0,0.2361633248171053,-0.0012896652018254775,0.23616684615966396
A,urban_short,2.0,60.0,0.23558699023469945,-0.0015381445434603854,0.23559201144453296
A,urban_short,2.0,70.0,0.2350117940486494,-0.0017854048870752782,0.2350185758883233
A,urban_short,2.0,80.0,0.23443773478620422,-0.0020314504133278257,0.23444653608545474
A,urban_short,2.0,90.0,0.23386481097374456,-0.002276285291128671,0.23387588863863648
A,urban_short,2.0,100.0,0.23329302113679684,-0.0025199136776686035,0.23330663015884662
A,urban_short,2.0,110.0,0.23272236380004807,-0.002762339718446479,0.23273875726531246
A,urban_short,2.0,120.0,0.23215283748736001,-0.003003567547296548,0.23217226658548984
A,urban_short,2.0,130.0,0.23158444072178397,-0.0032436012864164006,0.2316071547550436
A,urban_short,2.0,140.0,0.23101717202557506,-0.0034824450463939384,0.23104341841782747
A,urban_short,2.0,150.0,0.23045102992020663,-0.0037201029262352576,0.2304810542258642
A,urban_short,2.0,160.0,0.22988601292638397,-0.003956579013391332,0.22992005883932526
A,urban_short,2.0,170.0,0.22932211956405923,-0.004191877383786265,0.2293604289265116
A,urban_short,2.0,180.0,0.228759348352445,-0.004426002101843781,0.22880216116383342
A,urban_short,2.0,190.0,0.2281976978100288,-0.004658957220514693,0.2282452522357909
A,urban_short,2.0,200.0,0.22763716645458654,-0.004890746781304229,0.22768969883495382
A,urban_short,2.0,210.0,0.2270777528031968,-0.005121374814298782,0.2271354976619425
A,urban_short,2.0,220.0,0.22651945537225485,-0.005350845338193478,0.22658264542540812
A,urban_short,2.0,230.0,0.2259622726774859,-0.0055791623603185245,0.2260311388420128
A,urban_short,2.0,240.0,0.22540620323395935,-0.005806329876666696,0.22548097463641065
A,urban_short,2.0,250.0,0.22485124555610245,-0.006032351871920062,0.22493214954122798
A,urban_short,2.0,260.0,0.22429739815771338,-0.006257232319476866,0.22438466029704374
A,urban_short,2.0,270.0,0.22374465955197534,-0.00648097518147812,0.2238385036523705
A,urban_short,2.0,280.0,0.22319302825146994,-0.006703584408834687,0.22329367636363515
A,urban_short,2.0,290.0,0.22264250276819028,-0.006925063941253824,0.22275017519515908
A,urban_short,2.0,300.0,0.22209308161355523,-0.00714541770726576,0.22220799691914017
A,urban_short,2.0,310.0,0.22154476329842138,-0.007364649624250399,0.22166713831563198
A,urban_short,2.0,320.0,0.22099754633309743,-0.007582763598463861,0.221127596172526
A,urban_short,2.0,330.0,0.22045142922735675,-0.007799763525064893,0.22058936728553172
A,urban_short,2.0,340.0,0.21990641049045098,-0.008015653288141399,0.22005244845815833
A,urban_short,2.0,350.0,0.21936248863112268,-0.008230436760736886,0.21951683650169504
A,urban_short,2.0,360.0,0.21881966215761864,-0.00844411780487669,0.21898252823519276
A,urban_short,2.0,370.0,0.2182779295777022,-0.00865670027159429,0.21844952048544428
A,urban_short,2.0,380.0,0.21773728939866718,-0.008868188000957691,0.21791781008696667
A,urban_short,2.0,390.0,0.2171977401273498,-0.00907858482209528,0.21738739388198147
A,urban_short,2.0,400.0,0.21665928027014206,-0.00928789455322241,0.2168582687203966
A,urban_short,2.0,410.0,0.21612190833300407,-0.009496121001667497,0.21633043145978728
A,urban_short,2.0,420.0,0.21558562282147634,-0.009703267963897231,0.21580387896537692
A,urban_short,2.0,430.0,0.21505042224069376,-0.009909339225543832,0.21527860811002
A,urban_short,2.0,440.0,0.21451630509539663,-0.010114338561430057,0.21475461577418195
A,urban_short,2.0,450.0,0.2139832698899437,-0.010318269735595496,0.21423189884592114
A,urban_short,2.0,460.0,0.21345131512832477,-0.010521136501322217,0.21371045422087068
A,urban_short,2.0,470.0,0.21292043931417287,-0.010722942601160858,0.2131902788022197
A,urban_short,2.0,480.0,0.21239064095077664,-0.010923691766956076,0.21267136950069512
A,urban_short,2.0,490.0,0.2118619185410925,-0.011123387719872337,0.2121537232345431
A,urban_short,2.0,500.0,0.2113342705877566,-0.011322034170419534,0.21163733692951078
A,urban_short,2.0,510.0,0.21080769559309764,-0.011519634818478959,0.21112220751882838
A,urban_short,2.0,520.0,0.21028219205914814,-0.011716193353327976,0.21060833194319029
A,urban_short,2.0,530.0,0.20975775848765701,-0.011911713453666586,0.21009570715073764
A,urban_short,2.0,540.0,0.20923439338010147,-0.012106198787642188,0.20958433009703983
A,urban_short,2.0,550.0,0.20871209523769843,-0.01229965301287502,0.20907419774507618
A,urban_short,2.0,560.0,0.20819086256141708,-0.012492079776483728,0.2085653070652185
